role,country,n,experience_level,median_salary,salary_low,salary_high
Mobile,Chile,,FIVE_TEN,,70,106
Frontend,Chile,,FIVE_TEN,,70,106
Data Engineer,Mexico,,FIVE_TEN,,77,116
Designer,Poland,,FIVE_TEN,,69,96
Designer,Mexico,,FIVE_TEN,,60,90
DevOps,Romania,,FIVE_TEN,,57,86
Automation QA,Poland,,FIVE_TEN,,80,122
Designer,Costa Rica,,FIVE_TEN,,60,90
Designer,Colombia,,FIVE_TEN,,60,90
DevOps,Mexico,,FIVE_TEN,,77,116
Designer,Chile,,FIVE_TEN,,60,90
Data Analyst,Poland,,FIVE_TEN,,69,96
DevOps,Colombia,,FIVE_TEN,,77,116
Automation QA,Romania,,FIVE_TEN,,52,78
Designer,Romania,,FIVE_TEN,,44,66
DevOps,Chile,,FIVE_TEN,,77,116
DevOps,Costa Rica,,FIVE_TEN,,77,116
Frontend,Costa Rica,,FIVE_TEN,,70,106
DevOps,Spain,,FIVE_TEN,,55,83
Frontend,Canada,,FIVE_TEN,,94,112
Frontend,Spain,,FIVE_TEN,,50,75
Data Engineer,Poland,,FIVE_TEN,,90,124
AI/ML,Mexico,,FIVE_TEN,,77,116
Full Stack,Canada,,FIVE_TEN,,94,112
Data Analyst,Romania,,FIVE_TEN,,44,66
Data Engineer,Romania,,FIVE_TEN,,57,86
Full Stack,Costa Rica,,FIVE_TEN,,70,106
Full Stack,Spain,,FIVE_TEN,,50,75
Data Analyst,Spain,,FIVE_TEN,,42,64
Mobile,Canada,,FIVE_TEN,,94,112
AI/ML,Poland,,FIVE_TEN,,90,124
Mobile,Costa Rica,,FIVE_TEN,,70,106
AI/ML,Romania,,FIVE_TEN,,57,86
Mobile,Spain,,FIVE_TEN,,50,75
AI/ML,Canada,,TEN_PLUS,,131,157
AI/ML,Spain,,TEN_PLUS,,70,104
Data Analyst,Canada,,TEN_PLUS,,101,121
Data Engineer,Chile,,TEN_PLUS,,92,138
Data Analyst,Chile,,TEN_PLUS,,71,106
AI/ML,Costa Rica,,TEN_PLUS,,92,138
Data Engineer,Canada,,TEN_PLUS,,131,157
Data Analyst,Colombia,,TEN_PLUS,,71,106
AI/ML,Chile,,TEN_PLUS,,92,138
