employee_id,start_date,job_title,predicted_role,confidence
5039,2018-01-08T00:00:00,,,
5039,2020-04-16T00:00:00,VP of Engineering,,
5039,2020-10-16T00:00:00,VP of Engineering,,
5039,2021-10-01T00:00:00,VP of Engineering,,
5044,2019-11-12T00:00:00,Senior Software Engineer - Backend,,
5045,2018-02-19T00:00:00,,,
5045,2020-01-01T00:00:00,Senior Web Developer,,
5045,2021-01-01T00:00:00,Senior Web Developer,,
5046,2018-02-20T00:00:00,,,
5046,2020-03-21T00:00:00,Backend Architect,,
5046,2020-11-01T00:00:00,Backend Architect,,
5046,2021-08-01T00:00:00,Staff Software Engineer,,
5046,2022-01-01T00:00:00,Senior Staff Software Engineer,,
5047,2016-02-22T00:00:00,,,
5047,2016-02-22T00:00:00,,,
5047,2022-01-28T00:00:00,"VP, Design",,
5047,2022-12-16T00:00:00,"VP, Design",,
5047,2023-09-01T00:00:00,"VP, Design",,
5056,2018-03-05T00:00:00,,,
5057,2018-03-06T00:00:00,Engineering Manager & Vancouver Site Leader,,
5057,2020-01-01T00:00:00,Engineering Manager & Vancouver Site Leader,,
5057,2021-01-01T00:00:00,Engineering Manager & Vancouver Site Leader,,
5059,2018-03-21T00:00:00,Senior Quality Assurance Engineer,,
5060,2018-03-26T00:00:00,Senior Interaction Designer,,
5060,2020-01-01T00:00:00,Senior Interaction Designer,,
5060,2021-01-01T00:00:00,Senior Interaction Designer,,
5063,2018-04-09T00:00:00,Senior Frontend Engineer,,
5063,2020-01-01T00:00:00,Senior Frontend Engineer,,
5063,2021-01-01T00:00:00,Senior Software Engineer,,
5064,2018-04-23T00:00:00,Backend Engineer,,
5064,2020-11-01T00:00:00,Backend Engineer,,
5064,2021-08-01T00:00:00,Engineering Manager II,,
5070,2018-07-16T00:00:00,Mobile Engineer,,
5070,2020-05-11T00:00:00,Mobile Engineer,,
5071,2018-08-07T00:00:00,Operations Developer,,
5071,2020-04-16T00:00:00,Operations Developer,,
5071,2020-11-09T00:00:00,Operations Developer,,
5071,2021-08-01T00:00:00,Senior Software Engineer l,,
5072,2018-07-30T00:00:00,Backend Engineer,,
5073,2018-08-07T00:00:00,JavaScript Developer - Replicant,,
5075,2018-08-13T00:00:00,Full Stack Engineer,,
5075,2020-04-16T00:00:00,Full Stack Engineer,,
5075,2021-08-01T00:00:00,Senior Software Engineer l,,
5075,2022-03-01T00:00:00,Senior Software Engineer II,,
5076,2018-08-20T00:00:00,Senior Full Stack Engineer,,
5076,2020-08-01T00:00:00,Senior Full Stack Engineer,,
5077,2018-09-04T00:00:00,Frontend Engineer,,
5077,2020-01-01T00:00:00,Frontend Engineer,,
5077,2021-01-01T00:00:00,Software Engineer,,
5077,2021-05-01T00:00:00,Software Engineer,,
5078,2018-09-10T00:00:00,Senior Backend Engineer,,
5078,2020-01-01T00:00:00,Senior Backend Engineer,,
5081,2018-09-10T00:00:00,Senior Backend Engineer,,
5081,2020-01-01T00:00:00,Senior Backend Engineer,,
5081,2021-01-01T00:00:00,Senior Software Engineer,,
5082,2018-09-11T00:00:00,Software Engineer,,
5082,2020-09-16T00:00:00,Head of Machine Learning,,
5084,2018-09-17T00:00:00,Software Development Engineer,,
5084,2020-01-01T00:00:00,Software Development Engineer,,
5084,2021-01-01T00:00:00,Software Development Engineer,,
5087,2018-10-09T00:00:00,Software Engineer,,
5087,2020-02-19T00:00:00,Software Engineer,,
5088,2018-10-15T00:00:00,Frontend Engineer,,
