skill
jupyter notebook
figma
bugzilla
airflow
data management
dropwizard
nextui
elixir
aws aurora
flask
git
devops
unix
amazon virtual private cloud (vpc)
software debugging
boost (c++ libraries)
ui/ux
playwright
tensorflow
scala
php
adobe indesign
new relic
design studio
dynamodb
design
adobe
sql
maven
javascript
data validation
vue.js
swift
rabbitmq
nlp
mysql
google cloud
pytorch
r
appium
kubernetes
backend
kotlin
manual
testrail
.net core
apache mapreduce
tableau
gitlab
code review
redshift
custom software
pandas
amazon s3
python
api gateway
microsoft office
storyboarding
mobile application software
laravel
jest
oracle
css
front end software development
asp.net
elasticsearch
api management
vuejs
salesforce
pytest
blockchain
ios
amazon redshift
terraform
amazon simple queue service (sqs)
docker
objective c
artificial intelligence
openapi
machine learning
data analysis
gcp
ansible
apache airflow
jquery
ruby on rails
looker
api design
cordova
mongodb
node
html
react
c/c++
clojure
cypress.js
condor
photoshop
amplab simr
big data
nestjs
ci/cd
apache beam
android
apollo
data security
spring
scrum methodology
amazon elastic compute cloud
next.js
ios applications
ruby
cloudera
oop
data warehouse
lambda
android studio
django
cassandra
adobe xd
angularjs
cloudfront
anaconda
hibernate
numpy
rust
generative ai
angular
cloud computing
firebase
ember.js
nosql
sql database
azure
redux
jmeter
xamarin
ajax (programming language)
postman
dbt
solid principles
cypress.js 
app store (ios)
adobe illustrator
linux
bootstrap
apache http server
aws
apache spark
wordpress
apache kafka
jenkins
microservices
java
express.js
automation of tests
ionic
excel
go
.net
kafka
augmented reality
sketch
agile methodology
sqlite
extract transform load (etl)
dart
github
activex
angular 2+
application layers
pyspark
xcode
cloud formation
graphql
typescript
cucumber
confluence
react native
bigquery
html/css
node.js
objective-c
prometheus
product
preact
snowflake
jira
golang
flutter
large language models (llm)
perl
datadog
automation
selenium
api
neo4j
scikit-learn
apache hive
redis
c#
circleci
postgres
swiftui
beanstalk
rest api
power bi
collaborative software
sinatra
material design
erlang
